1,0.002,500.000000
2,0.005,500.000000
3,0.007,1000.000000
4,0.009,1000.000000
5,0.011,1000.000000
6,0.013,1000.000000
7,0.015,1000.000000
8,0.016,1000.000000
9,0.018,1000.000000
10,0.022,1000.000000
11,0.023,1000.000000
12,0.024,1000.000000
13,0.026,1000.000000
14,0.028,1000.000000
15,0.029,1000.000000
16,0.031,1000.000000
17,0.032,1000.000000
18,0.034,1000.000000
19,0.036,1000.000000
20,0.038,1000.000000
21,0.041,500.000000
22,0.043,1000.000000
23,0.047,250.000000
24,0.050,500.000000
25,0.054,333.333333
